username,nom,categorie,instagram_followers,instagram_following,instagram_posts,tiktok_followers,youtube_subscribers,youtube_views,score_influence,niveau,audience_totale,categorie_encoded,ratio_ff,nb_plateformes
sandy.aly,Sandy.Aly,Actors,360100,462,1100,0,0,0,37,Macro,360100,0,0.001282973388021694,1
benromdhaneolfa,Benromdhaneolfa,Singer,334000,876,633,1100,0,0,37,Macro,335100,10,0.0026227466384831184,2
soumow,Soumow,Lifestyle,62600,453,2000,219,0,0,36,Micro,62819,5,0.0072363061292950595,2
chouchoutas,Chouchoutas,Lifestyle,66800,7400,1200,308,0,0,36,Micro,67108,5,0.11077678477867098,2
narjessrkaiek,Narjessrkaiek,Lifestyle,70600,7500,1100,1100,0,0,36,Micro,71700,5,0.10623078993215393,2
vitalunaspirit,Vitalunaspirit,Travel,71300,1200,1200,97,0,0,36,Micro,71397,13,0.016830058484453233,2
tarabine,Tarabine,Lifestyle,53600,5500,2000,22,0,0,36,Micro,53622,5,0.10261002593235201,2
yousr.fg,Yousr.Fg,Lifestyle,1500000,518,68,0,0,0,34,Mega,1500000,5,0.0003453331031112646,1
rym_ben_messaoud,Rym Ben Messaoud,Actors,802600,2800,312,0,0,0,33,Macro,802600,0,0.0034886575022956613,1
lina_khouili,Lina Khouili,Lifestyle,555500,1100,171,0,0,0,33,Macro,555500,5,0.00198019445509549,1
asmafehri_officiel,Asmafehri Officiel,Lifestyle,919200,2400,281,0,0,0,33,Macro,919200,5,0.0026109632169677797,1
souhir_ben_amara,Souhir Ben Amara,Actors,728600,932,349,0,0,0,33,Macro,728600,0,0.0012791637672745439,1
abir_azl,Abir Azl,Lifestyle,171700,996,795,0,0,0,32,Macro,171700,5,0.005800781591254565,1
sandra_chihaoui,Sandra Chihaoui,TV Host,410300,324,102,1,0,0,32,Macro,410301,12,0.0007896641733751563,2
yasmeenayari_,Yasmeenayari,Lifestyle,298900,1100,194,116500,0,0,32,Macro,415400,5,0.0036801482765196503,2
eyadaghnoujofficial,Eyadaghnoujofficial,Singer,57100,674,159,152900,0,0,32,Macro,210000,10,0.011803646170820126,2
bilelmissaoui,Bilelmissaoui,TV Host,293400,1100,804,0,0,0,32,Macro,293400,12,0.0037491351426886753,1
chebbialaaofficiel,Chebbialaaofficiel,TV Host,443500,1700,223,14,0,0,32,Macro,443514,12,0.003833136791123357,2
emna_marouani,Emna Marouani,Modeling,70100,734,162,93900,0,0,32,Macro,164000,7,0.010470606696052837,2
elgeneralofficial,Elgeneralofficial,Singer,139800,166,353,6,0,0,32,Macro,139806,10,0.0011874020929750146,2
aziz__bey,Aziz  Bey,Actors,205900,315,424,1,0,0,32,Macro,205901,0,0.0015298614382640201,2
slimhal,Slimhal,Doctor,132000,2300,299,85,0,0,32,Macro,132085,1,0.017424110423405883,2
molka_g,Molka G,Makeup Artist,138300,1200,690,0,0,0,32,Macro,138300,6,0.008676726849408175,1
marwa.benali.712,Marwa.Benali.712,Food,161900,2300,784,0,0,0,32,Macro,161900,3,0.014206212438465482,1
nada_mezni_hafaiedh,Nada Mezni Hafaiedh,Lifestyle,227300,994,135,805,0,0,32,Macro,228105,5,0.004373055991834616,2
cuisine__imen,Cuisine  Imen,Food,148800,605,352,123,0,0,32,Macro,148923,3,0.004065832890907992,2
cherifouali,Cherifouali,Photographer,138800,3200,442,24100,0,0,32,Macro,162900,8,0.02305458894388369,2
mouraderouge,Mouraderouge,Video Blogger,413200,1300,397,13200,0,0,32,Macro,426400,14,0.003146168571712072,2
